home_zcta,home_county,atl_workers,workforce_share_pct,cumulative_share_pct
30257,"Pike County, GA",7,0.0107,98.4583
30517,"Gwinnett County, GA",7,0.0107,98.469
30517,"Jackson County, GA",7,0.0107,98.4797
30531,"Habersham County, GA",7,0.0107,98.4904
30534,"Forsyth County, GA",7,0.0107,98.5011
30536,"Gilmer County, GA",7,0.0107,98.5118
30567,"Jackson County, GA",7,0.0107,98.5225
30802,"Columbia County, GA",7,0.0107,98.5332
31052,"Bibb County, GA",7,0.0107,98.5439
31064,"Jasper County, GA",7,0.0107,98.5546
31516,"Pierce County, GA",7,0.0107,98.5653
31822,"Troup County, GA",7,0.0107,98.576
31833,"Troup County, GA",7,0.0107,98.5867
39823,"Early County, GA",7,0.0107,98.5974
30094,"DeKalb County, GA",6,0.0092,98.6066
30137,"Bartow County, GA",6,0.0092,98.6158
30176,"Haralson County, GA",6,0.0092,98.625
30188,"Cobb County, GA",6,0.0092,98.6342
30339,"Fulton County, GA",6,0.0092,98.6434
30518,"Hall County, GA",6,0.0092,98.6526
30525,"Rabun County, GA",6,0.0092,98.6618
30548,"Barrow County, GA",6,0.0092,98.671
30548,"Hall County, GA",6,0.0092,98.6802
30563,"Habersham County, GA",6,0.0092,98.6894
30564,"Hall County, GA",6,0.0092,98.6986
30606,"Oconee County, GA",6,0.0092,98.7078
30607,"Clarke County, GA",6,0.0092,98.717
30620,"Gwinnett County, GA",6,0.0092,98.7262
30621,"Oconee County, GA",6,0.0092,98.7354
30646,"Madison County, GA",6,0.0092,98.7446
30828,"Warren County, GA",6,0.0092,98.7538
31028,"Houston County, GA",6,0.0092,98.763
31211,"Jones County, GA",6,0.0092,98.7722
31220,"Monroe County, GA",6,0.0092,98.7814
31605,"Lowndes County, GA",6,0.0092,98.7906
31721,"Dougherty County, GA",6,0.0092,98.7998
31811,"Harris County, GA",6,0.0092,98.809
31905,"Muscogee County, GA",6,0.0092,98.8182
30052,"Rockdale County, GA",5,0.0077,98.8259
30184,"Cherokee County, GA",5,0.0077,98.8336
30256,"Upson County, GA",5,0.0077,98.8413
30461,"Bulloch County, GA",5,0.0077,98.849
30510,"Habersham County, GA",5,0.0077,98.8567
30513,"Fannin County, GA",5,0.0077,98.8644
30517,"Barrow County, GA",5,0.0077,98.8721
30527,"Hall County, GA",5,0.0077,98.8798
30535,"Habersham County, GA",5,0.0077,98.8875
30543,"Hall County, GA",5,0.0077,98.8952
30546,"Towns County, GA",5,0.0077,98.9029
30553,"Franklin County, GA",5,0.0077,98.9106
30558,"Banks County, GA",5,0.0077,98.9183
30628,"Madison County, GA",5,0.0077,98.926
30629,"Madison County, GA",5,0.0077,98.9337
31031,"Wilkinson County, GA",5,0.0077,98.9414
31078,"Crawford County, GA",5,0.0077,98.9491
31082,"Washington County, GA",5,0.0077,98.9568
31210,"Monroe County, GA",5,0.0077,98.9645
31305,"McIntosh County, GA",5,0.0077,98.9722
31415,"Chatham County, GA",5,0.0077,98.9799
31510,"Bacon County, GA",5,0.0077,98.9876
31523,"Glynn County, GA",5,0.0077,98.9953
31632,"Lowndes County, GA",5,0.0077,99.003
31750,"Ben Hill County, GA",5,0.0077,99.0107
31757,"Thomas County, GA",5,0.0077,99.0184
30014,"Walton County, GA",4,0.0061,99.0245
30113,"Haralson County, GA",4,0.0061,99.0306
30143,"Dawson County, GA",4,0.0061,99.0367
