home_zcta,home_county,atl_workers,synthetic_members,zcta_latitude,zcta_longitude,nearest_marta_station,nearest_marta_node_code,distance_to_marta_miles
30187,"Douglas County, GA",111,11,33.652761,-84.856249,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,23.31
30313,"Fulton County, GA",109,11,33.763613,-84.397670,DOME-GWCC-PHILIPS ARENA-CNN STATION,MARTA-DOME-GWCC-PHILIPS-ARENA-CNN,0.51
30906,"Richmond County, GA",103,10,33.346732,-81.967703,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,133.46
30240,"Troup County, GA",100,10,33.036764,-85.120092,AIRPORT STATION,MARTA-AIRPORT,57.04
30292,"Pike County, GA",94,9,33.168489,-84.393225,AIRPORT STATION,MARTA-AIRPORT,32.76
30680,"Barrow County, GA",91,9,33.995173,-83.697488,DORAVILLE STATION,MARTA-DORAVILLE,34.04
30134,"Paulding County, GA",88,9,33.777520,-84.781390,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,17.98
30180,"Douglas County, GA",84,8,33.718878,-84.918801,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,25.93
30307,"Fulton County, GA",81,8,33.771079,-84.333600,EDGEWOOD-CANDLER PARK STATION,MARTA-EDGEWOOD-CANDLER-PARK,0.76
30102,"Cherokee County, GA",79,8,34.101625,-84.645168,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,19.73
30121,"Bartow County, GA",78,8,34.211854,-84.776930,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,30.29
30286,"Upson County, GA",78,8,32.881118,-84.333168,AIRPORT STATION,MARTA-AIRPORT,52.88
